Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
womens-alpine-jacket,,,,,,,,Size,L,Color,Dusty Rose,WJ-ALP-RSE-L,1100,,50,deny,manual,139.00,219.00,TRUE,TRUE,,,,,,
womens-alpine-jacket,,,,,,,,Size,XL,Color,Dusty Rose,WJ-ALP-RSE-XL,1150,,50,deny,manual,139.00,219.00,TRUE,TRUE,,,,,,
alpine-ski-pants,[BRANDNAME] Alpine Ski Pants — Unisex,"<p><strong>All-mountain pants that move with you.</strong></p><p>Our Alpine Ski Pants are built for comfort and durability on any slope. 10,000mm waterproof rating, reinforced knees and seat, adjustable waistband, and boot gaiters to keep the snow out. Unisex fit works for everyone.</p><ul><li>Waterproof: 10,000mm</li><li>Breathability: 5,000 g/m²</li><li>Fully sealed seams</li><li>Reinforced knees and seat</li><li>Adjustable waistband with belt loops</li><li>Boot gaiters with hook</li><li>Two zippered side pockets</li><li>One zippered thigh pocket</li><li>Articulated knees for freedom of movement</li></ul><p><strong>Material:</strong> 100% Polyester with DWR coating<br><strong>Lining:</strong> 100% Polyester<br><strong>Insulation:</strong> 40g synthetic fill (lighter for mobility)</p><p>Part of the [BRANDNAME] Alpine Collection. <a href='/pages/size-guide'>Size Guide →</a></p>",[BRANDNAME],Apparel & Accessories > Clothing > Pants,Ski Pants,"unisex, pants, ski, winter, waterproof, alpine",TRUE,Size,S,Color,Black,UP-ALP-BLK-S,800,shopify,50,deny,manual,89.00,139.00,TRUE,TRUE,,1,Alpine Ski Pants Black Front,"Waterproof Ski Pants | [BRANDNAME]","Waterproof 10,000mm ski pants. Reinforced knees, boot gaiters, adjustable waist. Free shipping over €99. EU-registered company.",active
alpine-ski-pants,,,,,,,,Size,M,Color,Black,UP-ALP-BLK-M,850,,50,deny,manual,89.00,139.00,TRUE,TRUE,,,,,,
alpine-ski-pants,,,,,,,,Size,L,Color,Black,UP-ALP-BLK-L,900,,50,deny,manual,89.00,139.00,TRUE,TRUE,,,,,,
alpine-ski-pants,,,,,,,,Size,XL,Color,Black,UP-ALP-BLK-XL,950,,50,deny,manual,89.00,139.00,TRUE,TRUE,,,,,,
alpine-ski-pants,,,,,,,,Size,XXL,Color,Black,UP-ALP-BLK-XXL,1000,,50,deny,manual,89.00,139.00,TRUE,TRUE,,,,,,
alpine-ski-pants,,,,,,,,Size,S,Color,Charcoal,UP-ALP-CHR-S,800,,50,deny,manual,89.00,139.00,TRUE,TRUE,,2,Alpine Ski Pants Charcoal Front,,,
alpine-ski-pants,,,,,,,,Size,M,Color,Charcoal,UP-ALP-CHR-M,850,,50,deny,manual,89.00,139.00,TRUE,TRUE,,,,,,
alpine-ski-pants,,,,,,,,Size,L,Color,Charcoal,UP-ALP-CHR-L,900,,50,deny,manual,89.00,139.00,TRUE,TRUE,,,,,,
alpine-ski-pants,,,,,,,,Size,XL,Color,Charcoal,UP-ALP-CHR-XL,950,,50,deny,manual,89.00,139.00,TRUE,TRUE,,,,,,
alpine-ski-pants,,,,,,,,Size,XXL,Color,Charcoal,UP-ALP-CHR-XXL,1000,,50,deny,manual,89.00,139.00,TRUE,TRUE,,,,,,
